City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Al Hufuf,ASIA,Hourglass,0.235561749,0,2.726135267
Al Jaghbub,AFRICA,Pyramid,3.27677726,0.888875597,0.282644469
Al Jahra,ASIA,Hourglass,0.538641658,0,2.768503048
Al Jawf,AFRICA,Pyramid,1.520333735,0.992289685,0.785639409
Al Jubayl,ASIA,Pyramid,1.299002539,0.993460113,1.409677872
Al Karak,ASIA,Pyramid,3.161805675,0.32504509,0.386426089
Al Khalil,ASIA,Pyramid,1.149188968,0.03675012,1.420132528
Al Kharj,ASIA,Hourglass,0.130615202,0,2.733903639
Al Khums,AFRICA,Diamond,0.489062242,0.001947687,2.078135002
Al Kut,ASIA,Hourglass,0.029782469,0,1.862271877
Al Ladhiqiyah,ASIA,Pyramid,2.604986197,0.01372608,0.882589508
Al Marj,AFRICA,Hourglass,0.350381709,0.000432466,1.62371338
Al Mubarraz,ASIA,Hourglass,0.50093563,0,2.218530135
Al Mukalla,ASIA,Pyramid,2.317690079,1,0.854316536
Al Musayyib,ASIA,Pyramid,2.201855302,0.998534868,0.442963046
Al Qamishli,ASIA,Hourglass,0.545161055,2.92E-05,1.916215873
Al Qunaytirah,ASIA,Pyramid,6.604501872,1,0.059444522
Al Quwayiyah,ASIA,Pyramid,1.363782007,0.99365547,1.042715383
Al Wajh,ASIA,Pyramid,0.885720536,0.249285925,1.661046344
Al-Qatif,ASIA,Hourglass,0.790124191,0,2.36102116
Alagoinhas,SOUTH AMERICA,Hourglass,0.303760679,0,1.467539864
Alajuela,SOUTH AMERICA,Pyramid,1.278084204,0.966841458,1.393519936
Alamogordo,NORTH AMERICA,Hourglass,0.340096719,0,1.206132737
Alapayevsk,ASIA,Pyramid,0.98107301,0.194579448,1.291106778
Alatyr,EUROPE,Pyramid,0.779755193,0.834952143,1.205748497
Alayat Samail,ASIA,Pyramid,1.890811575,1,0.807015691
Albacete,EUROPE,Pyramid,1.328324321,0.180659925,1.406458273
Albany1,NORTH AMERICA,Pyramid,2.879804987,0.874162598,0.976945752
Albany2,NORTH AMERICA,Pyramid,3.032613621,0.366450525,0.878179986
Albany3,NORTH AMERICA,Pyramid,1.214574278,0.442119868,1.258351713
Albany4,AUSTRALIA,Hourglass,0.274850484,0,1.583704638
Albert Lea,NORTH AMERICA,Pyramid,2.211781085,0.996857316,0.728270231
Albuquerque,NORTH AMERICA,Hourglass,0.739545971,0,1.750152101
Albury,AUSTRALIA,Hourglass,0.608699828,0,1.633629849
Aldama,NORTH AMERICA,Diamond,0.494145919,0.044026111,1.095920709
Aldan,ASIA,Pyramid,1.543426495,0.998550941,0.535674876
Aleksandrovsk,ASIA,Pyramid,4.392181789,0.998181927,0.229194718
Alekseyevka,EUROPE,Pyramid,1.448789096,0.982980168,1.370899677
Aleksin,EUROPE,Pyramid,3.197414594,0.931658074,0.712056599
Aleppo,ASIA,Hourglass,0.899602356,0,2.281911895
Alexandria1,NORTH AMERICA,Pyramid,2.248758806,0.993682446,0.812141907
Alexandria2,NORTH AMERICA,Pyramid,3.446727764,0.471812617,1.270034267
Alexandria3,AFRICA,Pyramid,1.449602911,0.02040772,2.562583968
Alexandroupoli,EUROPE,Pyramid,1.141397776,0.993044691,0.999739884
Aleysk,ASIA,Hourglass,1.741867718,0.000169911,0.863430756
Algeciras,EUROPE,Pyramid,2.335844307,1,1.644969442
Algha,ASIA,Pyramid,1.731816946,0.879494793,0.760770917
Algiers,AFRICA,Hourglass,1.838514502,0,1.175392674
Ali Bayramli,ASIA,Hourglass,0.117272531,0,1.633648272
Ali Sabih,AFRICA,Pyramid,1.436686407,0.998945614,1.041642156
Alicante,EUROPE,Pyramid,1.591260374,0.994914923,1.732499632
Alice,NORTH AMERICA,Pyramid,0.781581765,0.196967458,0.871083175
Alice Springs,AUSTRALIA,Pyramid,1.306117533,0.950740655,1.0007242
Aligarh,ASIA,Hourglass,7.465045589,0,0.111230312
Alipur Duar,ASIA,Hourglass,8.442220325,0,0.083458414
Aliwal North,AFRICA,Pyramid,1.75035695,0.804375968,0.925097832
Allahabad,ASIA,Hourglass,8.24376331,0,0.119577471
Allanmyo,ASIA,Pyramid,1.409554519,0.990877127,0.696449033
Allappey,ASIA,Hourglass,4.302458751,0,0.280613305
Allende,NORTH AMERICA,Hourglass,0.290558902,0,1.131443544
